WarehouseID,ProductID,QuantityOnHand,ReOrderLevel,LastUpdated
1,1,486,83,2026-04-06
1,2,446,88,2026-03-13
1,3,277,86,2025-08-24
1,4,75,45,2025-06-13
1,5,143,70,2025-09-25
1,6,484,76,2025-09-07
1,7,284,97,2025-08-18
1,8,219,88,2026-05-13
1,9,46,81,2026-04-18
1,10,499,88,2025-09-25
1,11,203,35,2026-01-27
1,12,217,67,2025-10-24
1,13,340,58,2026-05-02
1,14,99,52,2025-11-16
1,15,253,42,2025-09-06
1,16,249,29,2025-08-31
1,17,245,88,2025-12-24
1,18,99,53,2025-09-06
1,19,179,29,2026-01-01
1,20,249,38,2026-04-26
1,21,441,20,2025-10-26
1,22,324,23,2025-08-21
1,23,15,43,2026-06-02
1,24,335,21,2025-12-05
1,25,496,51,2025-07-05
1,26,474,43,2025-06-19
1,27,395,69,2025-07-12
1,28,162,52,2026-01-17
1,29,416,80,2026-03-18
1,30,178,62,2025-11-03
1,31,100,31,2025-06-25
1,32,322,84,2025-10-19
1,33,416,59,2026-06-01
1,34,329,62,2025-12-12
1,35,43,48,2026-05-23
1,36,396,31,2026-04-13
1,37,94,65,2025-06-06
1,38,385,54,2026-02-20
1,39,214,27,2026-02-06
1,40,92,45,2025-12-15
1,41,457,53,2025-09-07
1,42,114,26,2026-01-22
1,43,195,77,2025-07-12
1,44,113,94,2025-11-08
1,45,412,55,2025-11-15
1,46,216,40,2026-05-17
1,47,248,55,2026-04-18
1,48,393,92,2025-09-06
1,49,407,83,2025-12-02
1,50,226,68,2025-08-06
1,51,98,55,2026-05-02
1,52,465,43,2026-04-16
1,53,150,81,2025-09-19
1,54,223,56,2026-01-21
1,55,267,74,2026-01-10
1,56,12,42,2025-07-27
1,57,216,49,2026-03-08
1,58,272,81,2025-12-16
1,59,83,32,2026-03-13
1,60,186,38,2025-12-13
1,61,176,31,2025-06-02
1,62,444,38,2025-09-28
1,63,75,28,2025-06-09
1,64,454,47,2026-05-08
1,65,205,71,2026-04-19
1,66,338,35,2026-04-02
1,67,372,88,2025-09-22
1,68,98,31,2025-06-23
1,69,24,71,2026-04-19
1,70,378,72,2026-05-14
1,71,150,35,2025-07-03
1,72,56,58,2025-11-26
1,73,108,72,2025-06-27
1,74,41,77,2026-03-07
1,75,422,33,2026-03-09
1,76,222,24,2025-07-18
1,77,162,94,2025-11-22
1,78,145,95,2025-12-20
1,79,8,93,2025-09-07
1,80,441,36,2026-04-17
1,81,252,26,2025-11-03
1,82,173,32,2025-08-18
1,83,167,61,2025-12-16
1,84,392,69,2026-02-24
1,85,282,85,2025-08-14
1,86,4,48,2025-09-24
1,87,164,57,2026-06-01
1,88,338,27,2026-01-25
1,89,495,84,2025-11-09
1,90,341,36,2025-12-08
1,91,326,64,2025-07-16
1,92,131,55,2025-08-23
1,93,69,50,2025-10-03
1,94,274,80,2026-01-03
1,95,363,73,2025-08-25
1,96,166,93,2025-08-21
1,97,345,38,2025-06-27
1,98,38,86,2026-01-18
1,99,172,32,2025-08-24
1,100,241,77,2026-04-29
2,1,147,91,2026-04-12
2,2,316,58,2025-06-27
2,3,0,22,2025-08-28
2,4,460,81,2026-02-01
2,5,190,44,2025-08-19
2,6,311,52,2025-07-20
2,7,421,25,2026-05-10
2,8,57,63,2025-12-28
2,9,172,51,2025-11-21
2,10,172,80,2026-03-16
2,11,302,40,2026-03-24
2,12,79,94,2025-08-10
2,13,251,55,2025-07-07
2,14,226,38,2025-11-06
2,15,19,76,2025-11-04
2,16,401,66,2025-11-19
2,17,232,68,2026-02-23
2,18,13,34,2026-02-03
2,19,414,20,2026-05-28
2,20,372,73,2025-07-08
2,21,373,22,2025-10-27
2,22,143,76,2025-10-04
2,23,458,31,2026-04-13
2,24,329,35,2025-09-01
2,25,455,95,2025-08-10
2,26,407,47,2025-11-13
2,27,372,27,2025-11-03
2,28,121,55,2025-09-11
2,29,89,27,2025-09-01
2,30,185,79,2026-05-05
2,31,177,47,2025-11-11
2,32,219,60,2026-04-13
2,33,227,83,2025-12-20
2,34,410,82,2025-06-20
2,35,144,92,2026-06-02
2,36,416,96,2026-04-03
2,37,219,48,2026-05-22
2,38,396,65,2026-05-07
2,39,34,25,2026-04-08
2,40,81,88,2025-08-01
2,41,302,44,2025-11-26
2,42,449,29,2025-08-19
2,43,311,49,2025-10-26
2,44,241,24,2025-06-23
2,45,118,52,2025-10-18
2,46,373,84,2026-05-28
2,47,145,68,2025-09-07
2,48,266,45,2026-03-15
2,49,62,78,2025-11-15
2,50,282,68,2025-11-03
2,51,460,52,2026-05-18
2,52,97,20,2026-06-01
2,53,404,74,2025-12-22
2,54,5,88,2026-02-19
2,55,350,24,2025-07-28
2,56,357,22,2025-09-18
2,57,436,42,2026-05-22
2,58,484,72,2025-12-30
2,59,164,93,2025-12-17
2,60,457,36,2026-03-02
2,61,84,97,2025-06-22
2,62,456,20,2026-01-01
2,63,50,64,2025-12-03
2,64,204,23,2026-04-10
2,65,445,84,2025-07-29
2,66,368,51,2026-05-19
2,67,33,91,2025-07-01
2,68,38,45,2025-08-09
2,69,249,53,2026-01-05
2,70,437,22,2026-02-04
2,71,378,69,2025-08-27
2,72,267,84,2025-07-15
2,73,53,24,2026-04-23
2,74,477,76,2025-08-31
2,75,400,66,2026-01-05
2,76,406,98,2026-01-14
2,77,228,33,2025-11-02
2,78,65,94,2026-01-01
2,79,434,57,2025-12-10
2,80,191,57,2026-05-10
2,81,305,49,2025-08-15
2,82,334,70,2026-02-19
2,83,446,71,2025-08-28
2,84,248,57,2025-10-24
2,85,480,98,2026-02-02
2,86,29,70,2025-09-19
2,87,80,24,2025-09-25
2,88,284,23,2026-03-04
2,89,137,75,2025-06-28
2,90,400,93,2025-11-16
2,91,272,88,2026-06-02
2,92,33,25,2026-06-01
2,93,52,85,2025-06-28
